task_id	task_generation_config_json	env	domain	l1_category	l2_category	suggested_difficulty	suggested_hint	suggested_max_steps	suggested_split	metadata_json
etsy/search/digital_format_travel_journal/0	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for Etsy's picks (Etsy's best) travel journal with digital download format (Item format) under 20 USD, sort By: Highest price","gt_url": ["https://www.etsy.com/search?q=travel+journal&is_merch_library=true&instant_download=true&max=20&order=price_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	easy	null	null	validation	null
etsy/search/handmade_leather_wallets/1	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for black and grey colour handmade leather wallets on Etsy under 50 USD with free shipping, and ship to United States. Which arrives within 7 days and sort by newest","gt_url": ["https://www.etsy.com/search?q=handmade+leather+wallets&max=50&free_shipping=true&delivery_days=7&ship_to=US&attr_1=1%2C5&order=date_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	hard	null	null	validation	null
etsy/search/wedding_template/2	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for digital downloads (Item format), Etsy's Pick, Star Seller wedding invitation templates with vertical orientation for the occassion of wedding with colours as White, Green, Beige, Brown, Rose Gold based on the wedding themebetween 5 USD â€“ 20 USD and sort by low to high price.","gt_url": ["https://www.etsy.com/search?q=wedding+invitation+template&min=5&max=20&instant_download=true&is_merch_library=true&is_star_seller=true&attr_3=32&attr_1=1217%2C1213%2C3%2C10%2C4&attr_479=3460&order=price_asc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	hard	null	null	validation	null
etsy/search/framed_macrame_living_room/3	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for framed (framing) star seller (Etsyâ€™s best) macrame wall for living room and entryway (room) with horizontal orientation over 50 USD with free delivery (special offers), sorted by top reviews.","gt_url": ["https://www.etsy.com/search?q=macrame%20wall&attr_346=2341&is_star_seller=true&attr_349=2351%2C2353&min=50&free_shipping=true&order=highest_reviews&attr_479=3461"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	hard	null	null	validation	null
etsy/search/gift_wrapped_scented_candles/4	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for Star seller (Etsy's best) on sale (Special offers) scented candles above 30 USD of purple and rose gold colour that can be gift wrapped (ordering options), with estimated delivery within 7 days.","gt_url": ["https://www.etsy.com/search?q=scented%20candles&is_discounted=true&is_star_seller=true&gift_wrap=true&delivery_days=7&min=30&attr_1=8%2C1217"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	hard	null	null	validation	null
etsy/search/on_sale_wooden_toys/5	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for on sale (Special Offers) Etsy's picks (Etsy's Best) wooden toys with Free shipping under 50 USD and sort by Top reviews","gt_url": ["https://www.etsy.com/search?q=wooden+toys&free_shipping=true&is_merch_library=true&is_discounted=true&max=50&order=highest_reviews"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	medium	null	null	validation	null
etsy/search/newest_resin_lamp/6	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for on sale (Special Offers) Star Seller (Etsy's Best) resin lamp under 100 USD with free delivery and sort by newest","gt_url": ["https://www.etsy.com/search?q=resin+lamp&max=100&free_shipping=true&is_discounted=true&is_star_seller=true&order=date_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	medium	null	null	validation	null
etsy/search/personalizable_rug/7	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for personalizable (can be personalized) runner type (Rug type) rugs over 100 USD that deliver to Japan with free delivery (Special offers).","gt_url": ["https://www.etsy.com/search?q=rugs&free_shipping=true&ship_to=JP&min=100&attr_353=2375&attr_344=2315"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	medium	null	null	validation	null
etsy/search/wooden_cabinate_under_200/8	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for cabinets with material as wood under 200 USD that deliver to Germany.","gt_url": ["https://www.etsy.com/search?q=cabinet&ship_to=DE&attr_357=286&max=200"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	medium	null	null	validation	null
etsy/search/on_sale_tote_bag/9	{"_target_": "navi_bench.etsy.etsy_url_match.generate_task_config","url": "https://www.etsy.com","task": "Search for On sale (Special Offers) Tote bag with colours Beige, Brown and bronze and material leather between 50 USD - 200 USD that arrives within 7 days (Estimated delivery) and sort by Price high to low","gt_url": ["https://www.etsy.com/search?q=tote+bag&is_discounted=true&min=50&max=200&delivery_days=7&attr_1=1213%2C3%2C1216&attr_357=161&order=price_desc"],"location": "United States","timezone": "America/Chicago","timestamp": null}	real	etsy	marketplace	search	medium	null	null	validation	null
